University,Country,City,Category,Overall_Score,Description,Language,Scholarship_Availability,Tuition_Fees_EUR_Per_Year,Website,Fields_of_Study,RANK_2025,QS_Rank_Numeric,Cluster
"Universitatea ""Constantin Brâncoveanu"" din Piteşti",Romania,Pitesti,Instituțiilor de învățământ superior particular,,"Universitatea ""Constantin Brâncoveanu"" din Piteşti is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,3900,http://www.univcb.ro,Arts & Humanities,Not Ranked,9999,4
"Universitatea ""George Bacovia"" din Bacău",Romania,Bacău,Instituțiilor de învățământ superior particular,,"Universitatea ""George Bacovia"" din Bacău is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6400,http://www.ugb.ro,Arts & Humanities,Not Ranked,9999,4
"Universitatea ""Bogdan Vodă""din Cluj-Napoka",Romania,Cluj-Napoca,Instituțiilor de învățământ superior particular,,"Universitatea ""Bogdan Vodă""din Cluj-Napoka is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6600,http://www.ubv.ro,Arts & Humanities,Not Ranked,9999,4
Universitatea din București,Romania,Bucharest,Universitatea,,"Universitatea din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6000,http://www.unibuc.ro,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Universitatea Naţională de Educaţie Fizică şi Sport din Bucureşti,Romania,Bucharest,Universitatea,,"Universitatea Naţională de Educaţie Fizică şi Sport din Bucureşti is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,2400,http://unefsb.ro/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Universitatea de Științe Agronomice și Medicină Veterinară din București,Romania,Bucharest,Universitatea,,"Universitatea de Științe Agronomice și Medicină Veterinară din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,3800,http://www.usamv.ro,"Engineering, Manufacturing, Construction, Agriculture, Veterinary",Not Ranked,9999,4
Academia de Studii Economice din București,Romania,Bucharest,Universitatea,,"Academia de Studii Economice din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,3900,http://www.ase.ro,"Business, Administration, Law",Not Ranked,9999,4
Universitatea de Medicină și Farmacie „Carol Davila” din Bucuresti,Romania,Bucharest,Universitatea,,"Universitatea de Medicină și Farmacie „Carol Davila” din Bucuresti is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,5600,http://www.umfcd.ro,Health & Welfare,Not Ranked,9999,4
Universitatea Naţională de Artă Teatrală şi Cinematografică “I.L.Caragiale” din București,Romania,Bucharest,Universitatea,,"Universitatea Naţională de Artă Teatrală şi Cinematografică “I.L.Caragiale” din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,4000,http://www.unatc.ro,Arts & Humanities,Not Ranked,9999,4
Universitatea Națională de Arte din București,Romania,Bucharest,Universitatea,,"Universitatea Națională de Arte din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,2100,http://www.unarte.org,Arts & Humanities,Not Ranked,9999,4
Universitatea Naţională de Muzică din Bucureşti,Romania,Bucharest,Universitatea,,"Universitatea Naţională de Muzică din Bucureşti is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,2600,http://www.unmb.ro,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Universitatea „Ștefan cel Mare” din Suceava,Romania,Suceava,Universitatea,,"Universitatea „Ștefan cel Mare” din Suceava is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,2600,http://www.usv.ro,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
"Universitatea ""Politehnica"" Timișoara",Romania,Timișoara,Universitatea,,"Universitatea ""Politehnica"" Timișoara is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,2100,http://www.upt.ro,"Engineering, Manufacturing, Construction",Not Ranked,9999,4
Universitatea de Vest din Timișoara,Romania,Timișoara,Universitatea,,"Universitatea de Vest din Timișoara is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,2600,http://www.uvt.ro,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Universitatea de Științe Agricole și Medicină Veterinară a Banatului “Regele Mihai I al României” din Timișoara,Romania,Timișoara,Universitatea,,"Universitatea de Științe Agricole și Medicină Veterinară a Banatului “Regele Mihai I al României” din Timișoara is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6900,http://www.usab-tm.ro,"Engineering, Manufacturing, Construction",Not Ranked,9999,4
"Universitatea de Medicină și Farmacie ""Victor Babeș"" din Timișoara",Romania,Timișoara,Universitatea,,"Universitatea de Medicină și Farmacie ""Victor Babeș"" din Timișoara is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,5700,http://www.umft.ro,"Health & Welfare, Information & Communication Technologies (ICT)",Not Ranked,9999,4
Universitatea Politehnica din București,Romania,Bucharest,Universitatea,,"Universitatea Politehnica din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6600,http://www.upb.ro,"Engineering, Manufacturing, Construction",Not Ranked,9999,4
"Universitatea de Arhitectură şi Urbanism ""Ion Mincu"" din Bucuresti",Romania,Bucharest,Universitatea,,"Universitatea de Arhitectură şi Urbanism ""Ion Mincu"" din Bucuresti is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,3900,http://www.uauim.ro,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Universitatea Tehnică de Construcții din București,Romania,Bucharest,Universitatea,,"Universitatea Tehnică de Construcții din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6900,http://www.utcb.ro,"Engineering, Manufacturing, Construction",Not Ranked,9999,4
Fundaţia Lumina - Instituţii De Învăţământ - Universitatea Europei De Sud Est - Lumina,Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Fundaţia Lumina - Instituţii De Învăţământ - Universitatea Europei De Sud Est - Lumina is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,4200,http://www.lumina.ro,Arts & Humanities,Not Ranked,9999,4
Școala Normală Superioară- București (S.N.S.B.),Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Școala Normală Superioară- București (S.N.S.B.) is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,3900,http://imar.ro/~snsb/,Arts & Humanities,Not Ranked,9999,4
"Universitatea de Medicină, Farmacie, Științe și Tehnologie „George Emil Palade” din Târgu Mureș",Romania,Târgu Mureș,Universitatea,,"Universitatea de Medicină, Farmacie, Științe și Tehnologie „George Emil Palade” din Târgu Mureș is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,4200,https://www.umfst.ro/en/home.html,Health & Welfare,Not Ranked,9999,4
Uppsala universitet,Sweden,Uppsala,Universitet,,"Uppsala universitet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,16000,http://www.uu.se/en/,"Arts & Humanities, Business, Administration, Law, ICT, Engineering, Manufacturing, Construction",Not Ranked,9999,5
Lunds universitet,Sweden,Lund,Universitet,,"Lunds universitet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,16400,http://www.lunduniversity.lu.se/,"Arts & Humanities, Engineering, Manufacturing, Construction",Not Ranked,9999,5
Göteborgs universitet,Sweden,Göteborg,Universitet,,"Göteborgs universitet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,11600,http://www.gu.se/english,"Education, Arts & Humanities, Business, Administration, Law, Engineering, Manufacturing, Construction",Not Ranked,9999,5
Stockholms universitet,Sweden,Stockholm,Universitet,,"Stockholms universitet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,15600,http://www.su.se/english/,"Education, Business, Administration, Law",Not Ranked,9999,5
Umeå universitet,Sweden,Umeå,Universitet,,"Umeå universitet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,16200,http://www.umu.se/english/?languageId=1,"Arts & Humanities, Business, Administration, Law, Engineering, Manufacturing, Construction, Health & Welfare, Services",Not Ranked,9999,0
"Universitatea ""Sapientia""din Cluj-Napoca",Romania,Cluj-Napoca,Instituțiilor de învățământ superior particular,,"Universitatea ""Sapientia""din Cluj-Napoca is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6100,http://www.sapientia.ro,Arts & Humanities,Not Ranked,9999,4
"Universitatea ""Agora"" din Oradea",Romania,Oradea,Instituțiilor de învățământ superior particular,,"Universitatea ""Agora"" din Oradea is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,3100,http://univagora.ro,Arts & Humanities,Not Ranked,9999,4
"Universitatea ""Adventus"" din Cernica",Romania,Cernica,Instituțiilor de învățământ superior particular,,"Universitatea ""Adventus"" din Cernica is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6700,https://uadventus.ro/,Arts & Humanities,Not Ranked,9999,4
Fundaţia Ştefan Lupaşcu - Institutul De Studii Europene Din Iaşi,Romania,Iaşi,Instituțiilor de învățământ superior particular,,"Fundaţia Ştefan Lupaşcu - Institutul De Studii Europene Din Iaşi is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,7000,http://univ-st-lupascu.ro/,Arts & Humanities,Not Ranked,9999,4
Institutul Teologic Romano-Catolic Franciscan Din Roman,Romania,Roman,Instituțiilor de învățământ superior particular,,"Institutul Teologic Romano-Catolic Franciscan Din Roman is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6800,http://itrcf.ofmconv.ro,Arts & Humanities,Not Ranked,9999,4
Pentru Cultură Şi Învăţământ Ioan Slavici - Universitatea Ioan Slavici Din Timişoara,Romania,Timișoara,Instituțiilor de învățământ superior particular,,"Pentru Cultură Şi Învăţământ Ioan Slavici - Universitatea Ioan Slavici Din Timişoara is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,4000,http://www.islavici.ro,Arts & Humanities,Not Ranked,9999,4
"Fundaţia ""Gaudeamus"" - Universitatea ""Tomis"" Din Constanţa",Romania,Constanța,Instituțiilor de învățământ superior particular,,"Fundaţia ""Gaudeamus"" - Universitatea ""Tomis"" Din Constanţa is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,5500,http://www.univ-tomis.ro,Arts & Humanities,Not Ranked,9999,4
"Institutul Teologic Creştin După Evanghelie ""Timotheus"" Din Bucureşti",Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Institutul Teologic Creştin După Evanghelie ""Timotheus"" Din Bucureşti is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6900,http://timotheus.ro,Arts & Humanities,Not Ranked,9999,4
"Universitatea Creştină ""Partium"" din Oradea",Romania,Oradea,Instituțiilor de învățământ superior particular,,"Universitatea Creştină ""Partium"" din Oradea is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6800,http://www.partium.ro,Arts & Humanities,Not Ranked,9999,4
"Universitatea ""DANUBIUS"" din Galați",Romania,Galați,Instituțiilor de învățământ superior particular,,"Universitatea ""DANUBIUS"" din Galați is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,5000,http://www.univ-danubius.ro,Arts & Humanities,Not Ranked,9999,4
"Academia Naţională de Informaţii ""Mihai Viteazul"" din București",Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Academia Naţională de Informaţii ""Mihai Viteazul"" din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,2300,http://www.animv.ro,Arts & Humanities,Not Ranked,9999,4
Institutul Teologic Baptist din București,Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Institutul Teologic Baptist din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,4700,http://www.itb.ro,Arts & Humanities,Not Ranked,9999,4
Institutul Teologic Penticostal din Bucureşti,Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Institutul Teologic Penticostal din Bucureşti is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,5200,http://www.itpbucuresti.ro,Arts & Humanities,Not Ranked,9999,4
Institutul Teologic Protestant din Cluj-Napoca,Romania,Cluj-Napoca,Instituțiilor de învățământ superior particular,,"Institutul Teologic Protestant din Cluj-Napoca is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6200,http://www.proteo.cj.edu.ro,Arts & Humanities,Not Ranked,9999,4
Universitatea „Emanuel” din Oradea,Romania,Oradea,Instituțiilor de învățământ superior particular,,"Universitatea „Emanuel” din Oradea is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,4100,http://www.emanuel.ro,Arts & Humanities,Not Ranked,9999,4
Institutul de Administrare a Afacerilor din București,Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Institutul de Administrare a Afacerilor din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,5300,http://www.asebuss.ro,Arts & Humanities,Not Ranked,9999,4
"Universitatea Creștină ""Dimitrie Cantemir"" din București",Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Universitatea Creștină ""Dimitrie Cantemir"" din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,4500,http://www.ucdc.ro,Arts & Humanities,Not Ranked,9999,4
Universitatea Ecologică din București,Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Universitatea Ecologică din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6600,http://www.ueb.ro,Arts & Humanities,Not Ranked,9999,4
"Universitatea ""Hyperion"" din București",Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Universitatea ""Hyperion"" din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,4600,http://www.hyperion.ro,Arts & Humanities,Not Ranked,9999,4
"Universitatea ""Titu Maiorescu"" din București",Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Universitatea ""Titu Maiorescu"" din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,5500,http://www.utm.ro,Arts & Humanities,Not Ranked,9999,4
Universitatea Româno-Americană din București,Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Universitatea Româno-Americană din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,4200,http://www.rau.ro,Arts & Humanities,Not Ranked,9999,4
"Universitatea ""Spiru Haret"" din București",Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Universitatea ""Spiru Haret"" din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6700,http://www.spiruharet.ro,Arts & Humanities,Not Ranked,9999,4
"Universitatea ""Bioterra"" din București",Romania,Bucharest,Instituțiilor de învățământ superior particular,,"Universitatea ""Bioterra"" din București is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,6600,http://www.bioterra.ro,Arts & Humanities,Not Ranked,9999,4
Universitatea Apollonia din Iași,Romania,Iaşi,Instituțiilor de învățământ superior particular,,"Universitatea Apollonia din Iași is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Romanian / English,Yes,3400,http://www.univapollonia.ro,Arts & Humanities,Not Ranked,9999,4
Konstfack,Sweden,Stockholm,Högskola,,"Konstfack is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,15100,http://www.konstfack.se/en/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,5
Kungliga Konsthögskolan,Sweden,Stockholm,Högskola,,"Kungliga Konsthögskolan is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,15500,http://www.kkh.se/index.php/en,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,5
Kungliga Musikhögskolan i Stockholm,Sweden,Stockholm,Högskola,,"Kungliga Musikhögskolan i Stockholm is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,15700,https://www.kmh.se/in-english.html,Arts & Humanities,Not Ranked,9999,5
Ersta Sköndal Bräcke högskola,Sweden,Stockholm,Högskola,,"Ersta Sköndal Bräcke högskola is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,10000,http://www.esh.se/in-english/ersta-skondal-hogskola---english.html,Arts & Humanities,Not Ranked,9999,5
Röda Korsets högskola,Sweden,Stockholm,Högskola,,"Röda Korsets högskola is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,12700,http://www.rkh.se/en/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,5
Sophiahemmet högskola,Sweden,Stockholm,Högskola,,"Sophiahemmet högskola is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,11500,http://www.shh.se/visa_2013.asp?l3=623&sida=623,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,5
Linnéuniversitetet,Sweden,Växjö,Universitet,,"Linnéuniversitetet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,12800,http://lnu.se/en/,"Arts & Humanities, Business, Administration, Law, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary",Not Ranked,9999,5
Stockholms konstnärliga Högskola,Sweden,Stockholm,Högskola,,"Stockholms konstnärliga Högskola is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,17100,http://www.uniarts.se/english,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,5
Högskolan Dalarna,Sweden,Falun,Högskola,,"Högskolan Dalarna is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,15700,http://www.du.se/en,"Arts & Humanities, Business, Administration, Law, ICT, Engineering, Manufacturing, Construction, Health & Welfare",Not Ranked,9999,5
Högskolan i Gävle,Sweden,Gävle,Högskola,,"Högskolan i Gävle is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,12300,http://www.hig.se/Ext/En/University-of-Gavle.html,"Arts & Humanities, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary",Not Ranked,9999,5
Högskolan i Halmstad,Sweden,Halmstad,Högskola,,"Högskolan i Halmstad is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,15300,http://www.hh.se/english.5_en.html,"Business, Administration, Law, ICT, Engineering, Manufacturing, Construction, Services",Not Ranked,9999,5
Högskolan Kristianstad,Sweden,Kristianstad,Högskola,,"Högskolan Kristianstad is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,10100,http://www.hkr.se/en/,"Engineering, Manufacturing, Construction",Not Ranked,9999,5
Högskolan i Skövde,Sweden,Skövde,Högskola,,"Högskolan i Skövde is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,10400,http://www.his.se/en/,"Business, Administration, Law, ICT, Engineering, Manufacturing, Construction, Health & Welfare",Not Ranked,9999,5
Högskolan Väst,Sweden,Trollhättan,Högskola,,"Högskolan Väst is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,17800,http://www.hv.se/en,"Business, Administration, Law, ICT, Engineering, Manufacturing, Construction",Not Ranked,9999,5
Södertörns högskola,Sweden,Huddinge,Högskola,,"Södertörns högskola is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,9500,http://www.sh.se/inenglish,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,5
Försvarshögskolan,Sweden,Stockholm,Högskola,,"Försvarshögskolan is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,12900,http://www.fhs.se/en/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,5
Örebro universitet,Sweden,Örebro,Universitet,,"Örebro universitet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,12500,http://www.oru.se/English/,"Arts & Humanities, Business, Administration, Law, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",Not Ranked,9999,5
Mittuniversitetet,Sweden,Östersund,Universitet,,"Mittuniversitetet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,12400,http://www.miun.se/en/,"Arts & Humanities, Business, Administration, Law, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",Not Ranked,9999,5
Blekinge tekniska högskola,Sweden,Karlskrona,Högskola,,"Blekinge tekniska högskola is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,12700,http://www.bth.se/eng,"ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",Not Ranked,9999,5
Stiftelsen Högskolan i Jönköping,Sweden,Jönköping,Högskola,,"Stiftelsen Högskolan i Jönköping is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,8700,http://hj.se/en.html,"Arts & Humanities, Social Sciences, Journalism, Information, Engineering, Manufacturing, Construction",Not Ranked,9999,5
Malmö Universitet,Sweden,Malmö,Universitet,,"Malmö Universitet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,12300,http://www.mah.se/english,Health & Welfare,Not Ranked,9999,5
Mälardalens högskola,Sweden,Västerås,Högskola,,"Mälardalens högskola is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,14000,http://www.mdh.se/,"Arts & Humanities, ICT",Not Ranked,9999,5
Gymnastik- och idrottshögskolan,Sweden,Stockholm,Högskola,,"Gymnastik- och idrottshögskolan is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,14300,http://www.gih.se/In-English/,Services,Not Ranked,9999,5
Högskolan i Borås,Sweden,Borås,Högskola,,"Högskolan i Borås is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,14100,http://www.hb.se/en/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Engineering, Manufacturing, Construction, Services",Not Ranked,9999,5
Linköpings universitet,Sweden,Linköping,Universitet,,"Linköpings universitet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,12000,http://www.liu.se/?l=en,"Education, Engineering, Manufacturing, Construction",Not Ranked,9999,5
Karolinska institutet,Sweden,Stockholm,Universitet,,"Karolinska institutet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,15200,http://ki.se/en/startpage,Health & Welfare,Not Ranked,9999,1
Kungliga Tekniska högskolan,Sweden,Stockholm,Universitet,,"Kungliga Tekniska högskolan is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,16900,http://www.kth.se/en,"Business, Administration, Law, Engineering, Manufacturing, Construction",Not Ranked,9999,5
Chalmers tekniska högskola,Sweden,Göteborg,Universitet,,"Chalmers tekniska högskola is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,10500,http://www.chalmers.se/en/Pages/default.aspx,"Engineering, Manufacturing, Construction",Not Ranked,9999,5
Luleå tekniska universitet,Sweden,Luleå,Universitet,,"Luleå tekniska universitet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,9600,http://www.ltu.se/?l=en,"Arts & Humanities, Business, Administration, Law, ICT, Engineering, Manufacturing, Construction, Health & Welfare",Not Ranked,9999,5
Handelshögskolan i Stockholm,Sweden,Stockholm,Universitet,,"Handelshögskolan i Stockholm is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,9600,http://www.hhs.se/Pages/default.aspx,"Business, Administration, Law",Not Ranked,9999,5
Sveriges lantbruksuniversitet,Sweden,Uppsala,Universitet,,"Sveriges lantbruksuniversitet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,13900,http://www.slu.se/en/,"Agriculture, Veterinary",Not Ranked,9999,5
Karlstads universitet,Sweden,Karlstad,Universitet,,"Karlstads universitet is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Swedish / English,Yes,8100,http://www.kau.se/en,"Education, Arts & Humanities, Engineering, Manufacturing, Construction, Health & Welfare",Not Ranked,9999,5
Technická Univerzita vo Zvolene,Slovakia,Zvolen,Univerzita,,"Technická Univerzita vo Zvolene is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5900,http://www.tuzvo.sk,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,1
Vysoká Škola Múzických Umení v Bratislave,Slovakia,Bratislava,Vysoká škola,,"Vysoká Škola Múzických Umení v Bratislave is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,9700,http://www.vsmu.sk,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Vysoká Škola Výtvarných Umení v Bratislave,Slovakia,Bratislava,Vysoká škola,,"Vysoká Škola Výtvarných Umení v Bratislave is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,6700,http://www.vsvu.sk,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
